word,meaning,phonetic,category,difficulty
bonjour,你好,/bɔ̃ʒuʁ/,salutations,1
merci,谢谢,/mɛʁsi/,salutations,1
bonsoir,晚上好,/bɔ̃swaʁ/,salutations,1
croissant,羊角面包,/kʁwasɑ̃/,nourriture,1
fromage,奶酪,/fʁɔmaʒ/,nourriture,1
baguette,法棍,/baɡɛt/,nourriture,1
voyage,旅行,/vwajaʒ/,voyage,2
avion,飞机,/avjɔ̃/,voyage,2
gare,火车站,/ɡaʁ/,voyage,1
un,一,/œ̃/,nombres,1
deux,二,/dø/,nombres,1
trois,三,/tʁwa/,nombres,1
mère,母亲,/mɛʁ/,famille,1
père,父亲,/pɛʁ/,famille,1
rouge,红色,/ʁuʒ/,couleurs,1
bleu,蓝色,/blø/,couleurs,1
tête,头,/tɛt/,corps,1
main,手,/mɛ̃/,corps,1
soleil,太阳,/sɔlɛj/,meteo,1
pluie,雨,/plɥi/,meteo,1
maison,家,/mɛzɔ̃/,quotidien,1
travail,工作,/tʁavaj/,quotidien,2
heureux,幸福的,/øʁø/,emotions,2
triste,悲伤的,/tʁist/,emotions,2
bibliothèque,图书馆,/biblijɔtɛk/,quotidien,2
développement,发展,/devlɔpmɑ̃/,emotions,3
