word,meaning,phonetic,category,difficulty
hallo,你好,/ˈhalo/,begruessung,1
danke,谢谢,/ˈdaŋkə/,begruessung,1
bitte,请,/ˈbɪtə/,begruessung,1
tschüss,再见,/tʃʏs/,begruessung,1
guten Tag,你好,/ˈɡuːtn̩ taːk/,begruessung,1
Wasser,水,/ˈvasɐ/,essen,1
Brot,面包,/bʁoːt/,essen,1
Käse,奶酪,/ˈkɛːzə/,essen,1
Brötchen,小面包,/ˈbʁøːtçn̩/,essen,2
Wurst,香肠,/vʊʁst/,essen,1
Reise,旅行,/ˈʁaɪ̯zə/,reisen,2
Hotel,酒店,/hoˈtɛl/,reisen,1
Straße,街道,/ˈʃtʁaːsə/,reisen,2
Bibliothek,图书馆,/biblioˈteːk/,reisen,3
eins,一,/aɪ̯ns/,zahlen,1
zwei,二,/tsvaɪ̯/,zahlen,1
fünf,五,/fʏnf/,zahlen,1
zwölf,十二,/tsvɛlf/,zahlen,2
Mutter,母亲,/ˈmʊtɐ/,familie,1
Vater,父亲,/ˈfaːtɐ/,familie,1
Mädchen,女孩,/ˈmɛːtçn̩/,familie,2
rot,红色,/ʁoːt/,farben,1
grün,绿色,/ɡʁyːn/,farben,1
blau,蓝色,/blaʊ̯/,farben,1
Kopf,头,/kɔpf/,koerper,1
Hand,手,/hant/,koerper,1
Fuß,脚,/fuːs/,koerper,1
Sonne,太阳,/ˈzɔnə/,wetter,1
Regen,雨,/ˈʁeːɡn̩/,wetter,1
Schnee,雪,/ʃneː/,wetter,1
Haus,房子,/haʊ̯s/,alltag,1
Buch,书,/buːx/,alltag,1
Schlüssel,钥匙,/ˈʃlʏsl̩/,alltag,3
glücklich,快乐的,/ˈɡlʏklɪç/,gefuehle,3
schön,美丽的,/ʃøːn/,gefuehle,2
Grüße,问候,/ˈɡʁyːsə/,begruessung,3
