word,meaning,phonetic,category,difficulty
ciao,你好,/tʃao/,saluti,1
grazie,谢谢,/ˈɡrattsje/,saluti,1
buongiorno,早上好,/bwonˈdʒorno/,saluti,1
pizza,披萨,/ˈpittsa/,nourriture,1
pasta,意面,/ˈpasta/,nourriture,1
gelato,冰淇淋,/dʒeˈlaːto/,nourriture,1
viaggio,旅行,/viˈaddʒo/,viaggio,2
aereo,飞机,/aˈɛːreo/,viaggio,2
treno,火车,/ˈtreːno/,viaggio,1
uno,一,/ˈuːno/,numeri,1
due,二,/ˈduːe/,numeri,1
tre,三,/ˈtreːe/,numeri,1
madre,母亲,/ˈmaːdre/,famiglia,1
padre,父亲,/ˈpaːdre/,famiglia,1
rosso,红色,/ˈrosso/,colori,1
blu,蓝色,/blu/,colori,1
testa,头,/ˈtɛsta/,corpo,1
mano,手,/ˈmaːno/,corpo,1
sole,太阳,/ˈsoːle/,tempo,1
pioggia,雨,/ˈpjoːddʒa/,tempo,1
casa,家,/ˈkaːza/,quotidiano,1
lavoro,工作,/laˈvoːro/,quotidiano,2
felice,幸福的,/feˈliːtʃe/,emozioni,2
triste,悲伤的,/ˈtriste/,emozioni,2
biblioteca,图书馆,/biblioˈteːka/,quotidiano,2
sviluppo,发展,/zviˈluppo/,emozioni,3
