word,reading,romaji,meaning,level,category,difficulty
私,わたし,watashi,我,N5,noun_basic,1
人,ひと,hito,人,N5,noun_basic,1
友達,ともだち,tomodachi,朋友,N5,noun_basic,1
食べる,たべる,taberu,吃,N5,verb_2,1
飲む,のむ,nomu,喝,N5,verb_1,1
行く,いく,iku,去,N5,verb_1,1
来る,くる,kuru,来,N5,verb_3,1
美しい,うつくしい,utsukushii,美丽的,N3,adjective_i,3
元気,げんき,genki,精神好,N5,adjective_na,1
静か,しずか,shizuka,安静的,N5,adjective_na,1
図書館,としょかん,toshokan,图书馆,N3,noun_nature,3
学校,がっこう,gakkou,学校,N5,noun_nature,1
天気,てんき,tenki,天气,N5,noun_abstract,1
料理,りょうり,ryouri,料理,N4,noun_abstract,2
勉強,べんきょう,benkyou,学习,N5,noun_abstract,1
とても,とても,totemo,非常,N5,adverb,1
少し,すこし,sukoshi,一点,N5,adverb,1
おはよう,おはよう,ohayou,早上好,N5,expression,1
ありがとう,ありがとう,arigatou,谢谢,N5,expression,1
一つ,ひとつ,hitotsu,一个,N5,counter,1
二つ,ふたつ,futatsu,两个,N5,counter,1
